Nro;produto;Unidade;Ceasa;Estado;Cidade;Mes;Ano;Media dos preços Mensal
1;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mar;2006;0.60
2;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mai;2006;0.98
3;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;abr;2007;0.97
4;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;ago;2007;0.98
5;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;set;2007;1.03
6;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;out;2007;0.95
7;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;nov;2007;1.33
8;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;dez;2007;0.83
9;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jan;2008;1.00
10;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;fev;2008;0.90
11;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mar;2008;0.75
12;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mar;2009;1.25
13;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;abr;2009;0.99
14;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mai;2009;1.03
15;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jun;2009;1.00
16;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jul;2009;1.48
17;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;ago;2009;1.32
18;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;set;2009;1.36
19;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;out;2009;1.00
20;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;nov;2009;0.83
21;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;dez;2009;0.85
22;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jan;2010;0.75
23;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;fev;2010;0.91
24;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mar;2010;0.99
25;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;abr;2010;0.90
26;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;mai;2010;0.90
27;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jun;2010;0.90
28;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jul;2010;0.90
29;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;ago;2010;0.90
30;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;set;2010;0.90
31;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;out;2010;0.90
32;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;nov;2010;0.90
33;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;dez;2010;0.90
34;ABOBRINHA;KG;CEAGESP;SP;Araçatuba;jan;2011;0.90
