Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;BATATA;KG;CEAGESP - Araçatuba;mar/06;1, 30
2;BATATA;KG;CEAGESP - Araçatuba;mai/06;1, 05
3;BATATA;KG;CEAGESP - Araçatuba;abr/07;1, 30
4;BATATA;KG;CEAGESP - Araçatuba;ago/07;1, 19
5;BATATA;KG;CEAGESP - Araçatuba;set/07;1, 25
6;BATATA;KG;CEAGESP - Araçatuba;out/07;1, 54
7;BATATA;KG;CEAGESP - Araçatuba;nov/07;2, 10
8;BATATA;KG;CEAGESP - Araçatuba;dez/07;1, 00
9;BATATA;KG;CEAGESP - Araçatuba;jan/08;1, 20
10;BATATA;KG;CEAGESP - Araçatuba;fev/08;0, 98
11;BATATA;KG;CEAGESP - Araçatuba;mar/08;2, 02
12;BATATA;KG;CEAGESP - Araçatuba;mar/09;1, 99
13;BATATA;KG;CEAGESP - Araçatuba;abr/09;2, 21
14;BATATA;KG;CEAGESP - Araçatuba;mai/09;2, 50
15;BATATA;KG;CEAGESP - Araçatuba;jun/09;2, 50
16;BATATA;KG;CEAGESP - Araçatuba;jul/09;2, 50
17;BATATA;KG;CEAGESP - Araçatuba;ago/09;2, 50
18;BATATA;KG;CEAGESP - Araçatuba;set/09;2, 50
19;BATATA;KG;CEAGESP - Araçatuba;out/09;2, 65
20;BATATA;KG;CEAGESP - Araçatuba;nov/09;1, 80
21;BATATA;KG;CEAGESP - Araçatuba;dez/09;2, 36
22;BATATA;KG;CEAGESP - Araçatuba;jan/10;2, 73
23;BATATA;KG;CEAGESP - Araçatuba;fev/10;2, 45
24;BATATA;KG;CEAGESP - Araçatuba;mar/10;2, 35
25;BATATA;KG;CEAGESP - Araçatuba;abr/10;3, 08
26;BATATA;KG;CEAGESP - Araçatuba;mai/10;3, 49
27;BATATA;KG;CEAGESP - Araçatuba;jun/10;3, 50
28;BATATA;KG;CEAGESP - Araçatuba;jul/10;3, 50
29;BATATA;KG;CEAGESP - Araçatuba;ago/10;3, 50
30;BATATA;KG;CEAGESP - Araçatuba;set/10;2, 87
31;BATATA;KG;CEAGESP - Araçatuba;out/10;1, 22
32;BATATA;KG;CEAGESP - Araçatuba;nov/10;1, 22
33;BATATA;KG;CEAGESP - Araçatuba;dez/10;1, 24
34;BATATA;KG;CEAGESP - Araçatuba;jan/11;1, 16
35;BATATA;KG;CEAGESP - Araçatuba;fev/11;1, 16
36;BATATA;KG;CEAGESP - Araçatuba;mar/11;1, 23
37;BATATA;KG;CEAGESP - Araçatuba;abr/11;1, 80
38;BATATA;KG;CEAGESP - Araçatuba;mai/11;1, 69
39;BATATA;KG;CEAGESP - Araçatuba;jun/11;1, 46
40;BATATA;KG;CEAGESP - Araçatuba;jul/11;1, 31
41;BATATA;KG;CEAGESP - Araçatuba;ago/11;1, 06
42;BATATA;KG;CEAGESP - Araçatuba;set/11;1, 21
43;BATATA;KG;CEAGESP - Araçatuba;out/11;1, 33
44;BATATA;KG;CEAGESP - Araçatuba;nov/11;0, 94
45;BATATA;KG;CEAGESP - Araçatuba;dez/11;1, 31
46;BATATA;KG;CEAGESP - Araçatuba;jan/12;1, 40
47;BATATA;KG;CEAGESP - Araçatuba;fev/12;1, 27
48;BATATA;KG;CEAGESP - Araçatuba;mar/12;1, 14
49;BATATA;KG;CEAGESP - Araçatuba;abr/12;1, 27
50;BATATA;KG;CEAGESP - Araçatuba;mai/12;1, 28
51;BATATA;KG;CEAGESP - Araçatuba;jun/12;1, 71
52;BATATA;KG;CEAGESP - Araçatuba;jul/12;1, 19
53;BATATA;KG;CEAGESP - Araçatuba;ago/12;1, 27
54;BATATA;KG;CEAGESP - Araçatuba;out/12;1, 51
55;BATATA;KG;CEAGESP - Araçatuba;nov/12;1, 63
56;BATATA;KG;CEAGESP - Araçatuba;dez/12;1, 67
57;BATATA;KG;CEAGESP - Araçatuba;jan/13;2, 32
58;BATATA;KG;CEAGESP - Araçatuba;fev/13;2, 33
59;BATATA;KG;CEAGESP - Araçatuba;mar/13;2, 62
60;BATATA;KG;CEAGESP - Araçatuba;abr/13;2, 99
61;BATATA;KG;CEAGESP - Araçatuba;mai/13;3, 30
62;BATATA;KG;CEAGESP - Araçatuba;jun/13;3, 16
63;BATATA;KG;CEAGESP - Araçatuba;jul/13;2, 98
64;BATATA;KG;CEAGESP - Araçatuba;ago/13;2, 49
65;BATATA;KG;CEAGESP - Araçatuba;set/13;1, 78
66;BATATA;KG;CEAGESP - Araçatuba;out/13;2, 02
67;BATATA;KG;CEAGESP - Araçatuba;nov/13;2, 16
68;BATATA;KG;CEAGESP - Araçatuba;dez/13;1, 82
69;BATATA;KG;CEAGESP - Araçatuba;jan/14;1, 85
70;BATATA;KG;CEAGESP - Araçatuba;abr/14;2, 27
71;BATATA;KG;CEAGESP - Araçatuba;mai/14;1, 63
72;BATATA;KG;CEAGESP - Araçatuba;jun/14;1, 44
73;BATATA;KG;CEAGESP - Araçatuba;jul/14;1, 00
74;BATATA;KG;CEAGESP - Araçatuba;ago/14;1, 00
75;BATATA;KG;CEAGESP - Araçatuba;set/14;0, 86
76;BATATA;KG;CEAGESP - Araçatuba;out/14;0, 83
77;BATATA;KG;CEAGESP - Araçatuba;nov/14;1, 60
78;BATATA;KG;CEAGESP - Araçatuba;dez/14;1, 48
79;BATATA;KG;CEAGESP - Araçatuba;jan/15;1, 80
80;BATATA;KG;CEAGESP - Araçatuba;fev/15;2, 00
81;BATATA;KG;CEAGESP - Araçatuba;mar/15;1, 95
82;BATATA;KG;CEAGESP - Araçatuba;abr/15;1, 50
83;BATATA;KG;CEAGESP - Araçatuba;mai/15;1, 30
84;BATATA;KG;CEAGESP - Araçatuba;jun/15;1, 30
85;BATATA;KG;CEAGESP - Araçatuba;jul/15;1, 45
86;BATATA;KG;CEAGESP - Araçatuba;set/15;1, 90
87;BATATA;KG;CEAGESP - Araçatuba;out/15;1, 90
88;BATATA;KG;CEAGESP - Araçatuba;nov/15;1, 90
89;BATATA;KG;CEAGESP - Araçatuba;dez/15;1, 78
90;BATATA;KG;CEAGESP - Araçatuba;jan/16;1, 80
91;BATATA;KG;CEAGESP - Araçatuba;fev/16;1, 80
92;BATATA;KG;CEAGESP - Araçatuba;mar/16;1, 80
93;BATATA;KG;CEAGESP - Araçatuba;abr/16;1, 80
94;BATATA;KG;CEAGESP - Araçatuba;mai/16;1, 80
95;BATATA;KG;CEAGESP - Araçatuba;dez/16;1, 80
96;BATATA;KG;CEAGESP - Araçatuba;jan/17;1, 57
97;BATATA;KG;CEAGESP - Araçatuba;fev/17;1, 40
98;BATATA;KG;CEAGESP - Araçatuba;mar/17;1, 40
99;BATATA;KG;CEAGESP - Araçatuba;abr/17;1, 40
100;BATATA;KG;CEAGESP - Araçatuba;mai/17;1, 40
101;BATATA;KG;CEAGESP - Araçatuba;jun/17;1, 40
102;BATATA;KG;CEAGESP - Araçatuba;jul/17;1, 40
103;BATATA;KG;CEAGESP - Araçatuba;ago/17;1, 40
104;BATATA;KG;CEAGESP - Araçatuba;set/17;1, 40
105;BATATA;KG;CEAGESP - Araçatuba;out/17;1, 40
106;BATATA;KG;CEAGESP - Araçatuba;nov/17;1, 40
107;BATATA;KG;CEAGESP - Araçatuba;dez/17;1, 80
108;BATATA;KG;CEAGESP - Araçatuba;jan/18;1, 80
109;BATATA;KG;CEAGESP - Araçatuba;fev/18;1, 80
110;BATATA;KG;CEAGESP - Araçatuba;abr/18;1, 80
111;BATATA;KG;CEAGESP - Araçatuba;mai/18;1, 80
112;BATATA;KG;CEAGESP - Araçatuba;jun/18;1, 80
113;BATATA;KG;CEAGESP - Araçatuba;jul/18;1, 80
114;BATATA;KG;CEAGESP - Araçatuba;ago/18;1, 80
115;BATATA;KG;CEAGESP - Araçatuba;out/18;1, 80
116;BATATA;KG;CEAGESP - Araçatuba;fev/19;1, 80
117;BATATA;KG;CEAGESP - Araçatuba;mar/19;1, 80
118;BATATA;KG;CEAGESP - Araçatuba;abr/19;1, 80
119;BATATA;KG;CEAGESP - Araçatuba;mai/19;1, 80
120;BATATA;KG;CEAGESP - Araçatuba;jun/19;1, 80
121;BATATA;KG;CEAGESP - Araçatuba;jul/19;1, 80
122;BATATA;KG;CEAGESP - Araçatuba;ago/19;1, 80
123;BATATA;KG;CEAGESP - Araçatuba;set/19;2, 63
124;BATATA;KG;CEAGESP - Araçatuba;out/19;2, 20
125;BATATA;KG;CEAGESP - Araçatuba;nov/19;1, 72
126;BATATA;KG;CEAGESP - Araçatuba;dez/19;1, 72
127;BATATA;KG;CEAGESP - Araçatuba;jan/20;1, 98
128;BATATA;KG;CEAGESP - Araçatuba;fev/20;1, 96
129;BATATA;KG;CEAGESP - Araçatuba;mar/20;1, 96
130;BATATA;KG;CEAGESP - Araçatuba;jun/20;2, 43
131;BATATA;KG;CEAGESP - Araçatuba;jul/20;2, 33
132;BATATA;KG;CEAGESP - Araçatuba;ago/20;2, 16
133;BATATA;KG;CEAGESP - Araçatuba;set/20;1, 85
134;BATATA;KG;CEAGESP - Araçatuba;out/20;2, 79
135;BATATA;KG;CEAGESP - Araçatuba;nov/20;3, 98
136;BATATA;KG;CEAGESP - Araçatuba;dez/20;3, 92
137;BATATA;KG;CEAGESP - Araraquara;mar/06;0, 90
138;BATATA;KG;CEAGESP - Araraquara;abr/06;0, 92
139;BATATA;KG;CEAGESP - Araraquara;mai/06;0, 71
140;BATATA;KG;CEAGESP - Araraquara;jun/06;0, 76
141;BATATA;KG;CEAGESP - Araraquara;jul/06;0, 70
142;BATATA;KG;CEAGESP - Araraquara;ago/06;0, 58
143;BATATA;KG;CEAGESP - Araraquara;set/06;0, 57
144;BATATA;KG;CEAGESP - Araraquara;mar/09;1, 23
145;BATATA;KG;CEAGESP - Araraquara;abr/09;1, 68
146;BATATA;KG;CEAGESP - Araraquara;ago/09;1, 36
147;BATATA;KG;CEAGESP - Araraquara;set/09;1, 34
148;BATATA;KG;CEAGESP - Araraquara;out/09;1, 39
149;BATATA;KG;CEAGESP - Araraquara;nov/09;1, 87
150;BATATA;KG;CEAGESP - Araraquara;dez/09;1, 46
151;BATATA;KG;CEAGESP - Araraquara;jan/10;1, 87
152;BATATA;KG;CEAGESP - Araraquara;fev/10;1, 65
153;BATATA;KG;CEAGESP - Araraquara;mar/10;2, 05
154;BATATA;KG;CEAGESP - Araraquara;abr/10;2, 62
155;BATATA;KG;CEAGESP - Araraquara;mai/10;2, 34
156;BATATA;KG;CEAGESP - Araraquara;jun/10;1, 71
157;BATATA;KG;CEAGESP - Araraquara;jul/10;1, 12
158;BATATA;KG;CEAGESP - Araraquara;ago/10;0, 85
159;BATATA;KG;CEAGESP - Araraquara;set/10;0, 89
160;BATATA;KG;CEAGESP - Araraquara;out/10;1, 07
161;BATATA;KG;CEAGESP - Araraquara;nov/10;1, 17
162;BATATA;KG;CEAGESP - Araraquara;dez/10;0, 89
163;BATATA;KG;CEAGESP - Araraquara;jan/11;0, 96
164;BATATA;KG;CEAGESP - Araraquara;fev/11;0, 98
165;BATATA;KG;CEAGESP - Araraquara;mar/11;1, 32
166;BATATA;KG;CEAGESP - Araraquara;abr/11;1, 99
167;BATATA;KG;CEAGESP - Araraquara;mai/11;1, 55
168;BATATA;KG;CEAGESP - Araraquara;jun/11;1, 31
169;BATATA;KG;CEAGESP - Araraquara;jul/11;1, 01
170;BATATA;KG;CEAGESP - Araraquara;ago/11;0, 84
171;BATATA;KG;CEAGESP - Araraquara;set/11;0, 79
172;BATATA;KG;CEAGESP - Araraquara;out/11;0, 90
173;BATATA;KG;CEAGESP - Araraquara;nov/11;0, 85
174;BATATA;KG;CEAGESP - Araraquara;dez/11;0, 87
175;BATATA;KG;CEAGESP - Araraquara;jan/12;1, 23
176;BATATA;KG;CEAGESP - Araraquara;fev/12;1, 06
177;BATATA;KG;CEAGESP - Araraquara;mar/12;1, 08
178;BATATA;KG;CEAGESP - Araraquara;abr/12;1, 10
179;BATATA;KG;CEAGESP - Araraquara;mai/12;1, 20
180;BATATA;KG;CEAGESP - Araraquara;jun/12;1, 33
181;BATATA;KG;CEAGESP - Araraquara;jul/12;0, 93
182;BATATA;KG;CEAGESP - Araraquara;ago/12;1, 26
183;BATATA;KG;CEAGESP - Araraquara;set/12;1, 63
184;BATATA;KG;CEAGESP - Araraquara;out/12;1, 45
185;BATATA;KG;CEAGESP - Araraquara;nov/12;1, 25
186;BATATA;KG;CEAGESP - Araraquara;dez/12;1, 35
187;BATATA;KG;CEAGESP - Araraquara;jan/13;1, 84
188;BATATA;KG;CEAGESP - Araraquara;fev/13;1, 94
189;BATATA;KG;CEAGESP - Araraquara;mar/13;2, 07
190;BATATA;KG;CEAGESP - Araraquara;abr/13;2, 38
191;BATATA;KG;CEAGESP - Araraquara;mai/13;2, 83
192;BATATA;KG;CEAGESP - Araraquara;jun/13;2, 34
193;BATATA;KG;CEAGESP - Araraquara;jul/13;2, 26
194;BATATA;KG;CEAGESP - Araraquara;ago/13;1, 83
195;BATATA;KG;CEAGESP - Araraquara;set/13;1, 38
196;BATATA;KG;CEAGESP - Araraquara;out/13;1, 63
197;BATATA;KG;CEAGESP - Araraquara;nov/13;1, 71
198;BATATA;KG;CEAGESP - Araraquara;dez/13;1, 46
199;BATATA;KG;CEAGESP - Araraquara;jan/14;1, 46
200;BATATA;KG;CEAGESP - Araraquara;fev/14;1, 46
201;BATATA;KG;CEAGESP - Araraquara;mar/14;2, 56
202;BATATA;KG;CEAGESP - Araraquara;abr/14;3, 12
203;BATATA;KG;CEAGESP - Araraquara;mai/14;2, 26
204;BATATA;KG;CEAGESP - Araraquara;jun/14;1, 75
205;BATATA;KG;CEAGESP - Araraquara;jul/14;1, 11
206;BATATA;KG;CEAGESP - Araraquara;ago/14;0, 93
207;BATATA;KG;CEAGESP - Araraquara;set/14;0, 78
208;BATATA;KG;CEAGESP - Araraquara;out/14;0, 89
209;BATATA;KG;CEAGESP - Araraquara;nov/14;1, 79
210;BATATA;KG;CEAGESP - Araraquara;dez/14;1, 98
211;BATATA;KG;CEAGESP - Araraquara;jan/15;2, 86
212;BATATA;KG;CEAGESP - Araraquara;fev/15;2, 45
213;BATATA;KG;CEAGESP - Araraquara;mar/15;2, 19
214;BATATA;KG;CEAGESP - Araraquara;abr/15;1, 84
215;BATATA;KG;CEAGESP - Araraquara;mai/15;1, 95
216;BATATA;KG;CEAGESP - Araraquara;jun/15;2, 30
217;BATATA;KG;CEAGESP - Araraquara;jul/15;2, 04
218;BATATA;KG;CEAGESP - Araraquara;ago/15;1, 63
219;BATATA;KG;CEAGESP - Araraquara;set/15;1, 95
220;BATATA;KG;CEAGESP - Araraquara;out/15;1, 61
221;BATATA;KG;CEAGESP - Araraquara;nov/15;2, 66
222;BATATA;KG;CEAGESP - Araraquara;dez/15;2, 66
223;BATATA;KG;CEAGESP - Araraquara;jan/16;2, 91
224;BATATA;KG;CEAGESP - Araraquara;fev/16;2, 66
225;BATATA;KG;CEAGESP - Araraquara;mar/16;3, 10
226;BATATA;KG;CEAGESP - Araraquara;abr/16;3, 51
227;BATATA;KG;CEAGESP - Araraquara;mai/16;3, 64
228;BATATA;KG;CEAGESP - Araraquara;jun/16;4, 53
229;BATATA;KG;CEAGESP - Araraquara;jul/16;2, 98
230;BATATA;KG;CEAGESP - Araraquara;ago/16;2, 44
231;BATATA;KG;CEAGESP - Araraquara;set/16;1, 86
232;BATATA;KG;CEAGESP - Araraquara;out/16;2, 16
233;BATATA;KG;CEAGESP - Araraquara;nov/16;1, 54
234;BATATA;KG;CEAGESP - Araraquara;dez/16;1, 18
235;BATATA;KG;CEAGESP - Araraquara;jan/17;1, 14
236;BATATA;KG;CEAGESP - Araraquara;fev/17;1, 19
237;BATATA;KG;CEAGESP - Araraquara;mar/17;1, 26
238;BATATA;KG;CEAGESP - Araraquara;abr/17;1, 89
239;BATATA;KG;CEAGESP - Araraquara;mai/17;2, 11
240;BATATA;KG;CEAGESP - Araraquara;jun/17;1, 64
241;BATATA;KG;CEAGESP - Araraquara;jul/17;1, 03
242;BATATA;KG;CEAGESP - Araraquara;ago/17;1, 21
243;BATATA;KG;CEAGESP - Araraquara;set/17;0, 95
244;BATATA;KG;CEAGESP - Araraquara;out/17;1, 81
245;BATATA;KG;CEAGESP - Araraquara;nov/17;1, 52
246;BATATA;KG;CEAGESP - Araraquara;dez/17;1, 62
247;BATATA;KG;CEAGESP - Araraquara;jan/18;1, 84
248;BATATA;KG;CEAGESP - Araraquara;fev/18;1, 62
249;BATATA;KG;CEAGESP - Araraquara;mar/18;1, 56
250;BATATA;KG;CEAGESP - Araraquara;abr/18;1, 62
251;BATATA;KG;CEAGESP - Araraquara;mai/18;1, 83
252;BATATA;KG;CEAGESP - Araraquara;jun/18;1, 87
