Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;BERINJELA;KG;CEAGESP - Araçatuba;mar/06;0, 43
2;BERINJELA;KG;CEAGESP - Araçatuba;mai/06;0, 92
3;BERINJELA;KG;CEAGESP - Araçatuba;abr/07;0, 92
4;BERINJELA;KG;CEAGESP - Araçatuba;ago/07;0, 90
5;BERINJELA;KG;CEAGESP - Araçatuba;set/07;0, 85
6;BERINJELA;KG;CEAGESP - Araçatuba;out/07;0, 85
7;BERINJELA;KG;CEAGESP - Araçatuba;nov/07;0, 92
8;BERINJELA;KG;CEAGESP - Araçatuba;dez/07;0, 77
9;BERINJELA;KG;CEAGESP - Araçatuba;jan/08;0, 62
10;BERINJELA;KG;CEAGESP - Araçatuba;fev/08;1, 16
11;BERINJELA;KG;CEAGESP - Araçatuba;mar/08;0, 72
12;BERINJELA;KG;CEAGESP - Araçatuba;mar/09;0, 90
13;BERINJELA;KG;CEAGESP - Araçatuba;abr/09;0, 84
14;BERINJELA;KG;CEAGESP - Araçatuba;mai/09;0, 88
15;BERINJELA;KG;CEAGESP - Araçatuba;jun/09;0, 88
16;BERINJELA;KG;CEAGESP - Araçatuba;jul/09;0, 93
17;BERINJELA;KG;CEAGESP - Araçatuba;ago/09;1, 08
18;BERINJELA;KG;CEAGESP - Araçatuba;set/09;1, 14
19;BERINJELA;KG;CEAGESP - Araçatuba;out/09;0, 99
20;BERINJELA;KG;CEAGESP - Araçatuba;nov/09;1, 05
21;BERINJELA;KG;CEAGESP - Araçatuba;dez/09;1, 00
22;BERINJELA;KG;CEAGESP - Araçatuba;jan/10;0, 90
23;BERINJELA;KG;CEAGESP - Araçatuba;fev/10;1, 09
24;BERINJELA;KG;CEAGESP - Araçatuba;mar/10;0, 93
25;BERINJELA;KG;CEAGESP - Araçatuba;abr/10;1, 12
26;BERINJELA;KG;CEAGESP - Araçatuba;mai/10;1, 05
27;BERINJELA;KG;CEAGESP - Araçatuba;jun/10;0, 81
