Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;BRÓCOLOS;KG;CEAGESP - Araçatuba;mar/06;1, 80
2;BRÓCOLOS;KG;CEAGESP - Araçatuba;mai/06;2, 50
3;BRÓCOLOS;KG;CEAGESP - Araçatuba;abr/07;2, 00
4;BRÓCOLOS;KG;CEAGESP - Araçatuba;ago/07;1, 83
5;BRÓCOLOS;KG;CEAGESP - Araçatuba;set/07;1, 59
6;BRÓCOLOS;KG;CEAGESP - Araçatuba;out/07;1, 55
7;BRÓCOLOS;KG;CEAGESP - Araçatuba;nov/07;1, 60
8;BRÓCOLOS;KG;CEAGESP - Araçatuba;dez/07;1, 60
9;BRÓCOLOS;KG;CEAGESP - Araçatuba;jan/08;1, 80
10;BRÓCOLOS;KG;CEAGESP - Araçatuba;fev/08;2, 25
11;BRÓCOLOS;KG;CEAGESP - Araçatuba;mar/08;2, 13
12;BRÓCOLOS;KG;CEAGESP - Araçatuba;mar/09;2, 80
13;BRÓCOLOS;KG;CEAGESP - Araçatuba;abr/09;2, 80
14;BRÓCOLOS;KG;CEAGESP - Araçatuba;mai/09;3, 78
15;BRÓCOLOS;KG;CEAGESP - Araçatuba;jun/09;3, 92
16;BRÓCOLOS;KG;CEAGESP - Araçatuba;jul/09;2, 38
17;BRÓCOLOS;KG;CEAGESP - Araçatuba;ago/09;2, 17
18;BRÓCOLOS;KG;CEAGESP - Araçatuba;set/09;2, 23
19;BRÓCOLOS;KG;CEAGESP - Araçatuba;out/09;2, 50
20;BRÓCOLOS;KG;CEAGESP - Araçatuba;nov/09;2, 50
21;BRÓCOLOS;KG;CEAGESP - Araçatuba;dez/09;2, 30
22;BRÓCOLOS;KG;CEAGESP - Araçatuba;jan/10;2, 20
23;BRÓCOLOS;KG;CEAGESP - Araçatuba;fev/10;2, 20
24;BRÓCOLOS;KG;CEAGESP - Araçatuba;mar/10;2, 20
25;BRÓCOLOS;KG;CEAGESP - Araçatuba;abr/10;2, 24
26;BRÓCOLOS;KG;CEAGESP - Araçatuba;mai/10;2, 65
