Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;JILÓ;KG;CEAGESP - Araçatuba;mai/06;0, 98
2;JILÓ;KG;CEAGESP - Araçatuba;abr/07;1, 38
3;JILÓ;KG;CEAGESP - Araçatuba;ago/07;1, 21
4;JILÓ;KG;CEAGESP - Araçatuba;set/07;1, 25
5;JILÓ;KG;CEAGESP - Araçatuba;out/07;1, 48
6;JILÓ;KG;CEAGESP - Araçatuba;nov/07;2, 53
7;JILÓ;KG;CEAGESP - Araçatuba;dez/07;1, 66
8;JILÓ;KG;CEAGESP - Araçatuba;jan/08;1, 47
9;JILÓ;KG;CEAGESP - Araçatuba;fev/08;1, 33
10;JILÓ;KG;CEAGESP - Araçatuba;mar/08;1, 00
11;JILÓ;KG;CEAGESP - Araçatuba;mar/09;1, 19
12;JILÓ;KG;CEAGESP - Araçatuba;abr/09;1, 50
13;JILÓ;KG;CEAGESP - Araçatuba;mai/09;1, 44
14;JILÓ;KG;CEAGESP - Araçatuba;jun/09;1, 40
15;JILÓ;KG;CEAGESP - Araçatuba;jul/09;1, 53
16;JILÓ;KG;CEAGESP - Araçatuba;ago/09;1, 94
17;JILÓ;KG;CEAGESP - Araçatuba;set/09;1, 83
18;JILÓ;KG;CEAGESP - Araçatuba;out/09;1, 67
19;JILÓ;KG;CEAGESP - Araçatuba;nov/09;1, 11
20;JILÓ;KG;CEAGESP - Araçatuba;dez/09;1, 24
21;JILÓ;KG;CEAGESP - Araçatuba;jan/10;1, 15
22;JILÓ;KG;CEAGESP - Araçatuba;fev/10;1, 20
23;JILÓ;KG;CEAGESP - Araçatuba;mar/10;1, 35
24;JILÓ;KG;CEAGESP - Araçatuba;abr/10;1, 33
25;JILÓ;KG;CEAGESP - Araçatuba;mai/10;1, 43
26;JILÓ;KG;CEAGESP - Araçatuba;jun/10;1, 44
27;JILÓ;KG;CEAGESP - Araçatuba;jul/10;1, 22
28;JILÓ;KG;CEAGESP - Araçatuba;ago/10;1, 42
29;JILÓ;KG;CEAGESP - Araçatuba;set/10;1, 47
30;JILÓ;KG;CEAGESP - Araçatuba;out/10;1, 63
31;JILÓ;KG;CEAGESP - Araçatuba;nov/10;1, 57
32;JILÓ;KG;CEAGESP - Araçatuba;dez/10;1, 56
