Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mai/06;0, 55
2;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;abr/07;0, 59
3;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;ago/07;0, 61
4;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;set/07;1, 16
5;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;out/07;0, 78
6;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;nov/07;0, 82
7;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;dez/07;1, 03
8;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jan/08;1, 05
9;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;fev/08;0, 94
10;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mar/08;0, 88
11;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mar/09;0, 77
12;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;abr/09;0, 77
13;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mai/09;0, 77
14;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jun/09;0, 77
15;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jul/09;0, 77
16;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;ago/09;0, 77
17;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;set/09;0, 77
18;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;out/09;0, 77
19;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;nov/09;0, 73
20;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;dez/09;0, 81
21;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jan/10;0, 76
22;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;fev/10;0, 73
23;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mar/10;0, 72
24;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;abr/10;0, 68
25;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mai/10;0, 67
26;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jun/10;0, 68
27;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jul/10;0, 71
28;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;ago/10;0, 81
29;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;set/10;0, 82
30;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;out/10;0, 82
31;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;nov/10;0, 79
32;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;dez/10;0, 75
33;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jan/11;0, 94
34;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;fev/11;1, 00
35;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mar/11;1, 00
36;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;abr/11;1, 00
37;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;mai/11;1, 12
38;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jun/11;1, 00
39;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;jul/11;1, 00
40;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;ago/11;1, 11
41;MANDIOCA / AIPIM;KG;CEAGESP - Araçatuba;set/11;1, 13
