Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;MANDIOQUINHA;KG;CEAGESP - Araçatuba;abr/07;2, 00
2;MANDIOQUINHA;KG;CEAGESP - Araçatuba;ago/07;2, 05
3;MANDIOQUINHA;KG;CEAGESP - Araçatuba;set/07;2, 00
4;MANDIOQUINHA;KG;CEAGESP - Araçatuba;out/07;2, 00
5;MANDIOQUINHA;KG;CEAGESP - Araçatuba;nov/07;2, 20
6;MANDIOQUINHA;KG;CEAGESP - Araçatuba;dez/07;3, 13
7;MANDIOQUINHA;KG;CEAGESP - Araçatuba;jan/08;3, 50
8;MANDIOQUINHA;KG;CEAGESP - Araçatuba;fev/08;3, 50
9;MANDIOQUINHA;KG;CEAGESP - Araçatuba;mar/08;3, 50
10;MANDIOQUINHA;KG;CEAGESP - Araçatuba;mar/09;2, 50
11;MANDIOQUINHA;KG;CEAGESP - Araçatuba;abr/09;2, 46
12;MANDIOQUINHA;KG;CEAGESP - Araçatuba;mai/09;2, 50
13;MANDIOQUINHA;KG;CEAGESP - Araçatuba;jun/09;2, 50
14;MANDIOQUINHA;KG;CEAGESP - Araçatuba;jul/09;2, 50
15;MANDIOQUINHA;KG;CEAGESP - Araçatuba;ago/09;2, 50
16;MANDIOQUINHA;KG;CEAGESP - Araçatuba;set/09;2, 50
17;MANDIOQUINHA;KG;CEAGESP - Araçatuba;out/09;2, 50
18;MANDIOQUINHA;KG;CEAGESP - Araçatuba;nov/09;2, 50
19;MANDIOQUINHA;KG;CEAGESP - Araçatuba;dez/09;2, 69
20;MANDIOQUINHA;KG;CEAGESP - Araçatuba;jan/10;2, 76
21;MANDIOQUINHA;KG;CEAGESP - Araçatuba;fev/10;3, 11
22;MANDIOQUINHA;KG;CEAGESP - Araçatuba;mar/10;3, 29
23;MANDIOQUINHA;KG;CEAGESP - Araçatuba;abr/10;3, 03
24;MANDIOQUINHA;KG;CEAGESP - Araçatuba;mai/10;3, 03
25;MANDIOQUINHA;KG;CEAGESP - Araçatuba;jun/10;3, 45
26;MANDIOQUINHA;KG;CEAGESP - Araçatuba;jul/10;3, 76
27;MANDIOQUINHA;KG;CEAGESP - Araçatuba;ago/10;3, 88
28;MANDIOQUINHA;KG;CEAGESP - Araçatuba;set/10;3, 60
29;MANDIOQUINHA;KG;CEAGESP - Araçatuba;out/10;4, 73
