Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;MORANGO;KG;CEAGESP - Araçatuba;mai/06;3, 75
2;MORANGO;KG;CEAGESP - Araçatuba;abr/07;3, 25
3;MORANGO;KG;CEAGESP - Araçatuba;ago/07;1, 79
4;MORANGO;KG;CEAGESP - Araçatuba;set/07;1, 12
5;MORANGO;KG;CEAGESP - Araçatuba;out/07;2, 07
6;MORANGO;KG;CEAGESP - Araçatuba;nov/07;2, 07
7;MORANGO;KG;CEAGESP - Araçatuba;dez/07;2, 00
8;MORANGO;KG;CEAGESP - Araçatuba;jan/08;2, 25
9;MORANGO;KG;CEAGESP - Araçatuba;fev/08;3, 38
10;MORANGO;KG;CEAGESP - Araçatuba;mar/08;3, 50
11;MORANGO;KG;CEAGESP - Araçatuba;mar/09;13, 33
12;MORANGO;KG;CEAGESP - Araçatuba;abr/09;12, 25
13;MORANGO;KG;CEAGESP - Araçatuba;mai/09;11, 44
14;MORANGO;KG;CEAGESP - Araçatuba;jun/09;5, 25
15;MORANGO;KG;CEAGESP - Araçatuba;jul/09;2, 50
16;MORANGO;KG;CEAGESP - Araçatuba;ago/09;1, 65
17;MORANGO;KG;CEAGESP - Araçatuba;set/09;1, 91
18;MORANGO;KG;CEAGESP - Araçatuba;out/09;2, 94
19;MORANGO;KG;CEAGESP - Araçatuba;nov/09;2, 75
20;MORANGO;KG;CEAGESP - Araçatuba;dez/09;2, 77
21;MORANGO;KG;CEAGESP - Araçatuba;jan/10;3, 03
22;MORANGO;KG;CEAGESP - Araçatuba;fev/10;3, 68
23;MORANGO;KG;CEAGESP - Araçatuba;mar/10;4, 49
24;MORANGO;KG;CEAGESP - Araçatuba;abr/10;4, 44
25;MORANGO;KG;CEAGESP - Araçatuba;mai/10;4, 17
26;MORANGO;KG;CEAGESP - Araçatuba;jun/10;3, 48
27;MORANGO;KG;CEAGESP - Araçatuba;jul/10;3, 60
28;MORANGO;KG;CEAGESP - Araçatuba;ago/10;2, 35
29;MORANGO;KG;CEAGESP - Araçatuba;set/10;2, 22
30;MORANGO;KG;CEAGESP - Araçatuba;out/10;2, 74
31;MORANGO;KG;CEAGESP - Araçatuba;nov/10;2, 53
32;MORANGO;KG;CEAGESP - Araçatuba;dez/10;2, 50
33;MORANGO;KG;CEAGESP - Araçatuba;jan/11;2, 40
34;MORANGO;KG;CEAGESP - Araçatuba;fev/11;2, 50
35;MORANGO;KG;CEAGESP - Araçatuba;mar/11;2, 50
36;MORANGO;KG;CEAGESP - Araçatuba;abr/11;4, 21
37;MORANGO;KG;CEAGESP - Araçatuba;mai/11;3, 94
38;MORANGO;KG;CEAGESP - Araçatuba;jun/11;2, 98
39;MORANGO;KG;CEAGESP - Araçatuba;jul/11;2, 65
40;MORANGO;KG;CEAGESP - Araçatuba;ago/11;2, 03
41;MORANGO;KG;CEAGESP - Araçatuba;set/11;2, 07
42;MORANGO;KG;CEAGESP - Araçatuba;out/11;2, 53
43;MORANGO;KG;CEAGESP - Araçatuba;nov/11;2, 48
44;MORANGO;KG;CEAGESP - Araçatuba;dez/11;2, 53
45;MORANGO;KG;CEAGESP - Araçatuba;jan/12;2, 52
46;MORANGO;KG;CEAGESP - Araçatuba;fev/12;2, 84
47;MORANGO;KG;CEAGESP - Araçatuba;mar/12;3, 26
48;MORANGO;KG;CEAGESP - Araçatuba;abr/12;5, 69
49;MORANGO;KG;CEAGESP - Araçatuba;mai/12;7, 48
50;MORANGO;KG;CEAGESP - Araçatuba;jun/12;5, 49
51;MORANGO;KG;CEAGESP - Araçatuba;jul/12;6, 05
52;MORANGO;KG;CEAGESP - Araçatuba;ago/12;4, 39
53;MORANGO;KG;CEAGESP - Araçatuba;out/12;5, 93
54;MORANGO;KG;CEAGESP - Araçatuba;nov/12;5, 19
55;MORANGO;KG;CEAGESP - Araçatuba;dez/12;5, 10
56;MORANGO;KG;CEAGESP - Araçatuba;jan/13;5, 65
57;MORANGO;KG;CEAGESP - Araçatuba;fev/13;6, 14
58;MORANGO;KG;CEAGESP - Araçatuba;mar/13;7, 08
59;MORANGO;KG;CEAGESP - Araçatuba;abr/13;9, 94
60;MORANGO;KG;CEAGESP - Araçatuba;mai/13;8, 92
61;MORANGO;KG;CEAGESP - Araçatuba;jun/13;6, 31
62;MORANGO;KG;CEAGESP - Araçatuba;jul/13;5, 68
63;MORANGO;KG;CEAGESP - Araçatuba;ago/13;5, 69
64;MORANGO;KG;CEAGESP - Araçatuba;set/13;5, 25
65;MORANGO;KG;CEAGESP - Araçatuba;out/13;6, 01
66;MORANGO;KG;CEAGESP - Araçatuba;nov/13;6, 14
67;MORANGO;KG;CEAGESP - Araçatuba;dez/13;6, 34
68;MORANGO;KG;CEAGESP - Araçatuba;jan/14;6, 50
69;MORANGO;KG;CEAGESP - Araçatuba;abr/14;6, 00
70;MORANGO;KG;CEAGESP - Araçatuba;mai/14;7, 13
71;MORANGO;KG;CEAGESP - Araçatuba;jun/14;5, 36
72;MORANGO;KG;CEAGESP - Araçatuba;jul/14;3, 30
73;MORANGO;KG;CEAGESP - Araçatuba;ago/14;3, 00
74;MORANGO;KG;CEAGESP - Araçatuba;set/14;2, 67
75;MORANGO;KG;CEAGESP - Araçatuba;out/14;2, 72
76;MORANGO;KG;CEAGESP - Araçatuba;nov/14;2, 84
77;MORANGO;KG;CEAGESP - Araçatuba;dez/14;3, 19
78;MORANGO;KG;CEAGESP - Araçatuba;jan/15;3, 19
79;MORANGO;KG;CEAGESP - Araçatuba;fev/15;3, 32
80;MORANGO;KG;CEAGESP - Araçatuba;mar/15;3, 75
81;MORANGO;KG;CEAGESP - Araçatuba;abr/15;4, 00
82;MORANGO;KG;CEAGESP - Araçatuba;mai/15;4, 75
83;MORANGO;KG;CEAGESP - Araçatuba;jun/15;4, 75
84;MORANGO;KG;CEAGESP - Araçatuba;jul/15;4, 00
85;MORANGO;KG;CEAGESP - Araçatuba;set/15;3, 63
86;MORANGO;KG;CEAGESP - Araçatuba;out/15;3, 82
87;MORANGO;KG;CEAGESP - Araçatuba;nov/15;3, 50
88;MORANGO;KG;CEAGESP - Araçatuba;dez/15;4, 15
89;MORANGO;KG;CEAGESP - Araçatuba;jan/16;4, 75
90;MORANGO;KG;CEAGESP - Araçatuba;fev/16;4, 75
91;MORANGO;KG;CEAGESP - Araçatuba;mar/16;4, 53
92;MORANGO;KG;CEAGESP - Araçatuba;abr/16;4, 50
93;MORANGO;KG;CEAGESP - Araçatuba;mai/16;4, 88
94;MORANGO;KG;CEAGESP - Araçatuba;dez/16;3, 82
95;MORANGO;KG;CEAGESP - Araçatuba;jan/17;4, 04
96;MORANGO;KG;CEAGESP - Araçatuba;fev/17;12, 60
97;MORANGO;KG;CEAGESP - Araçatuba;mar/17;15, 31
98;MORANGO;KG;CEAGESP - Araçatuba;abr/17;17, 50
99;MORANGO;KG;CEAGESP - Araçatuba;mai/17;17, 50
100;MORANGO;KG;CEAGESP - Araçatuba;jun/17;4, 50
101;MORANGO;KG;CEAGESP - Araçatuba;jul/17;4, 00
102;MORANGO;KG;CEAGESP - Araçatuba;ago/17;4, 00
103;MORANGO;KG;CEAGESP - Araçatuba;set/17;3, 88
104;MORANGO;KG;CEAGESP - Araçatuba;out/17;3, 75
105;MORANGO;KG;CEAGESP - Araçatuba;nov/17;3, 96
106;MORANGO;KG;CEAGESP - Araçatuba;dez/17;4, 00
107;MORANGO;KG;CEAGESP - Araçatuba;jan/18;4, 50
108;MORANGO;KG;CEAGESP - Araçatuba;fev/18;4, 50
109;MORANGO;KG;CEAGESP - Araçatuba;abr/18;4, 50
110;MORANGO;KG;CEAGESP - Araçatuba;mai/18;4, 50
111;MORANGO;KG;CEAGESP - Araçatuba;jun/18;4, 99
112;MORANGO;KG;CEAGESP - Araçatuba;jul/18;4, 45
113;MORANGO;KG;CEAGESP - Araçatuba;ago/18;4, 25
114;MORANGO;KG;CEAGESP - Araçatuba;out/18;4, 00
115;MORANGO;KG;CEAGESP - Araçatuba;fev/19;6, 55
116;MORANGO;KG;CEAGESP - Araçatuba;mar/19;9, 44
117;MORANGO;KG;CEAGESP - Araçatuba;abr/19;9, 00
118;MORANGO;KG;CEAGESP - Araçatuba;mai/19;10, 13
119;MORANGO;KG;CEAGESP - Araçatuba;jun/19;9, 00
120;MORANGO;KG;CEAGESP - Araçatuba;jul/19;9, 00
121;MORANGO;KG;CEAGESP - Araçatuba;ago/19;9, 00
122;MORANGO;KG;CEAGESP - Araçatuba;set/19;7, 46
123;MORANGO;KG;CEAGESP - Araçatuba;out/19;7, 00
124;MORANGO;KG;CEAGESP - Araçatuba;nov/19;7, 75
125;MORANGO;KG;CEAGESP - Araçatuba;dez/19;7, 67
126;MORANGO;KG;CEAGESP - Araçatuba;jan/20;8, 21
127;MORANGO;KG;CEAGESP - Araçatuba;fev/20;8, 00
128;MORANGO;KG;CEAGESP - Araçatuba;mar/20;8, 00
129;MORANGO;KG;CEAGESP - Araçatuba;jun/20;11, 36
130;MORANGO;KG;CEAGESP - Araçatuba;jul/20;9, 67
131;MORANGO;KG;CEAGESP - Araçatuba;ago/20;9, 25
132;MORANGO;KG;CEAGESP - Araçatuba;set/20;8, 36
133;MORANGO;KG;CEAGESP - Araçatuba;out/20;8, 80
134;MORANGO;KG;CEAGESP - Araçatuba;nov/20;9, 65
135;MORANGO;KG;CEAGESP - Araçatuba;dez/20;9, 55
136;MORANGO;KG;CEAGESP - Araraquara;mar/06;5, 25
