Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;PEPINO;KG;CEAGESP - Araçatuba;mai/06;0, 89
2;PEPINO;KG;CEAGESP - Araçatuba;abr/07;0, 92
3;PEPINO;KG;CEAGESP - Araçatuba;ago/07;1, 05
4;PEPINO;KG;CEAGESP - Araçatuba;set/07;1, 21
5;PEPINO;KG;CEAGESP - Araçatuba;out/07;0, 98
6;PEPINO;KG;CEAGESP - Araçatuba;nov/07;3, 05
7;PEPINO;KG;CEAGESP - Araçatuba;dez/07;0, 99
8;PEPINO;KG;CEAGESP - Araçatuba;jan/08;1, 03
9;PEPINO;KG;CEAGESP - Araçatuba;fev/08;0, 62
10;PEPINO;KG;CEAGESP - Araçatuba;mar/08;0, 95
11;PEPINO;KG;CEAGESP - Araçatuba;mar/09;0, 96
12;PEPINO;KG;CEAGESP - Araçatuba;abr/09;0, 78
13;PEPINO;KG;CEAGESP - Araçatuba;mai/09;0, 88
14;PEPINO;KG;CEAGESP - Araçatuba;jun/09;0, 93
15;PEPINO;KG;CEAGESP - Araçatuba;jul/09;1, 14
16;PEPINO;KG;CEAGESP - Araçatuba;ago/09;1, 20
17;PEPINO;KG;CEAGESP - Araçatuba;set/09;1, 20
18;PEPINO;KG;CEAGESP - Araçatuba;out/09;0, 81
19;PEPINO;KG;CEAGESP - Araçatuba;nov/09;0, 68
20;PEPINO;KG;CEAGESP - Araçatuba;dez/09;0, 79
21;PEPINO;KG;CEAGESP - Araçatuba;jan/10;0, 68
22;PEPINO;KG;CEAGESP - Araçatuba;fev/10;1, 55
23;PEPINO;KG;CEAGESP - Araçatuba;mar/10;1, 24
24;PEPINO;KG;CEAGESP - Araçatuba;abr/10;1, 27
25;PEPINO;KG;CEAGESP - Araçatuba;mai/10;0, 96
26;PEPINO;KG;CEAGESP - Araçatuba;jun/10;1, 17
27;PEPINO;KG;CEAGESP - Araçatuba;jul/10;1, 27
28;PEPINO;KG;CEAGESP - Araçatuba;ago/10;0, 93
29;PEPINO;KG;CEAGESP - Araçatuba;set/10;1, 25
30;PEPINO;KG;CEAGESP - Araçatuba;out/10;0, 74
31;PEPINO;KG;CEAGESP - Araçatuba;nov/10;0, 73
32;PEPINO;KG;CEAGESP - Araçatuba;dez/10;0, 73
33;PEPINO;KG;CEAGESP - Araçatuba;jan/11;1, 04
34;PEPINO;KG;CEAGESP - Araçatuba;fev/11;1, 36
35;PEPINO;KG;CEAGESP - Araçatuba;mar/11;1, 18
36;PEPINO;KG;CEAGESP - Araçatuba;abr/11;1, 03
37;PEPINO;KG;CEAGESP - Araçatuba;mai/11;1, 34
38;PEPINO;KG;CEAGESP - Araçatuba;jun/11;1, 73
39;PEPINO;KG;CEAGESP - Araçatuba;jul/11;1, 73
40;PEPINO;KG;CEAGESP - Araçatuba;ago/11;1, 69
41;PEPINO;KG;CEAGESP - Araçatuba;set/11;0, 93
42;PEPINO;KG;CEAGESP - Araçatuba;out/11;0, 76
43;PEPINO;KG;CEAGESP - Araçatuba;nov/11;0, 76
44;PEPINO;KG;CEAGESP - Araçatuba;dez/11;0, 77
45;PEPINO;KG;CEAGESP - Araçatuba;jan/12;1, 10
46;PEPINO;KG;CEAGESP - Araçatuba;fev/12;0, 96
47;PEPINO;KG;CEAGESP - Araçatuba;mar/12;1, 07
48;PEPINO;KG;CEAGESP - Araçatuba;abr/12;0, 95
49;PEPINO;KG;CEAGESP - Araçatuba;mai/12;1, 31
50;PEPINO;KG;CEAGESP - Araçatuba;jun/12;1, 15
51;PEPINO;KG;CEAGESP - Araçatuba;jul/12;2, 04
52;PEPINO;KG;CEAGESP - Araçatuba;ago/12;1, 92
53;PEPINO;KG;CEAGESP - Araçatuba;out/12;1, 24
54;PEPINO;KG;CEAGESP - Araçatuba;nov/12;0, 93
55;PEPINO;KG;CEAGESP - Araçatuba;dez/12;0, 99
56;PEPINO;KG;CEAGESP - Araçatuba;jan/13;1, 37
57;PEPINO;KG;CEAGESP - Araçatuba;fev/13;1, 06
58;PEPINO;KG;CEAGESP - Araçatuba;mar/13;1, 47
59;PEPINO;KG;CEAGESP - Araçatuba;abr/13;1, 30
60;PEPINO;KG;CEAGESP - Araçatuba;mai/13;1, 20
61;PEPINO;KG;CEAGESP - Araçatuba;jun/13;1, 25
62;PEPINO;KG;CEAGESP - Araçatuba;jul/13;1, 26
63;PEPINO;KG;CEAGESP - Araçatuba;ago/13;1, 68
64;PEPINO;KG;CEAGESP - Araçatuba;set/13;1, 74
65;PEPINO;KG;CEAGESP - Araçatuba;out/13;1, 35
66;PEPINO;KG;CEAGESP - Araçatuba;nov/13;1, 08
67;PEPINO;KG;CEAGESP - Araçatuba;dez/13;0, 87
68;PEPINO;KG;CEAGESP - Araçatuba;jan/14;1, 04
69;PEPINO;KG;CEAGESP - Araçatuba;abr/14;1, 16
70;PEPINO;KG;CEAGESP - Araçatuba;mai/14;1, 15
71;PEPINO;KG;CEAGESP - Araçatuba;jun/14;1, 15
72;PEPINO;KG;CEAGESP - Araçatuba;jul/14;1, 15
73;PEPINO;KG;CEAGESP - Araçatuba;ago/14;1, 15
74;PEPINO;KG;CEAGESP - Araçatuba;set/14;1, 15
75;PEPINO;KG;CEAGESP - Araçatuba;out/14;1, 15
76;PEPINO;KG;CEAGESP - Araçatuba;nov/14;1, 15
77;PEPINO;KG;CEAGESP - Araçatuba;dez/14;1, 15
78;PEPINO;KG;CEAGESP - Araçatuba;jan/15;1, 15
79;PEPINO;KG;CEAGESP - Araçatuba;fev/15;1, 15
80;PEPINO;KG;CEAGESP - Araçatuba;mar/15;1, 15
81;PEPINO;KG;CEAGESP - Araçatuba;abr/15;1, 15
82;PEPINO;KG;CEAGESP - Araçatuba;mai/15;1, 15
83;PEPINO;KG;CEAGESP - Araçatuba;jun/15;1, 15
84;PEPINO;KG;CEAGESP - Araçatuba;jul/15;1, 15
85;PEPINO;KG;CEAGESP - Araçatuba;set/15;1, 02
86;PEPINO;KG;CEAGESP - Araçatuba;out/15;1, 02
87;PEPINO;KG;CEAGESP - Araçatuba;nov/15;1, 02
88;PEPINO;KG;CEAGESP - Araçatuba;dez/15;1, 02
89;PEPINO;KG;CEAGESP - Araçatuba;jan/16;1, 02
90;PEPINO;KG;CEAGESP - Araçatuba;fev/16;1, 02
91;PEPINO;KG;CEAGESP - Araçatuba;mar/16;1, 02
92;PEPINO;KG;CEAGESP - Araçatuba;abr/16;1, 02
93;PEPINO;KG;CEAGESP - Araçatuba;mai/16;1, 02
94;PEPINO;KG;CEAGESP - Araçatuba;dez/16;1, 02
95;PEPINO;KG;CEAGESP - Araçatuba;jan/17;1, 02
96;PEPINO;KG;CEAGESP - Araçatuba;fev/17;1, 01
97;PEPINO;KG;CEAGESP - Araçatuba;mar/17;1, 00
98;PEPINO;KG;CEAGESP - Araçatuba;abr/17;1, 00
99;PEPINO;KG;CEAGESP - Araçatuba;mai/17;1, 00
100;PEPINO;KG;CEAGESP - Araçatuba;jun/17;1, 00
101;PEPINO;KG;CEAGESP - Araçatuba;jul/17;1, 00
102;PEPINO;KG;CEAGESP - Araçatuba;ago/17;1, 00
103;PEPINO;KG;CEAGESP - Araçatuba;set/17;1, 00
104;PEPINO;KG;CEAGESP - Araçatuba;out/17;1, 00
105;PEPINO;KG;CEAGESP - Araçatuba;nov/17;1, 00
106;PEPINO;KG;CEAGESP - Araçatuba;dez/17;1, 00
107;PEPINO;KG;CEAGESP - Araçatuba;jan/18;1, 00
108;PEPINO;KG;CEAGESP - Araçatuba;fev/18;1, 00
109;PEPINO;KG;CEAGESP - Araçatuba;abr/18;1, 00
110;PEPINO;KG;CEAGESP - Araçatuba;mai/18;1, 00
111;PEPINO;KG;CEAGESP - Araçatuba;jun/18;1, 00
112;PEPINO;KG;CEAGESP - Araçatuba;jul/18;1, 00
113;PEPINO;KG;CEAGESP - Araçatuba;ago/18;1, 00
114;PEPINO;KG;CEAGESP - Araçatuba;out/18;1, 00
115;PEPINO;KG;CEAGESP - Araçatuba;fev/19;1, 00
116;PEPINO;KG;CEAGESP - Araçatuba;mar/19;1, 00
117;PEPINO;KG;CEAGESP - Araçatuba;abr/19;1, 00
118;PEPINO;KG;CEAGESP - Araçatuba;mai/19;1, 00
119;PEPINO;KG;CEAGESP - Araçatuba;jun/19;1, 00
120;PEPINO;KG;CEAGESP - Araçatuba;jul/19;1, 00
121;PEPINO;KG;CEAGESP - Araçatuba;ago/19;1, 00
122;PEPINO;KG;CEAGESP - Araçatuba;set/19;1, 25
123;PEPINO;KG;CEAGESP - Araçatuba;out/19;1, 00
124;PEPINO;KG;CEAGESP - Araçatuba;nov/19;1, 00
125;PEPINO;KG;CEAGESP - Araçatuba;dez/19;1, 00
126;PEPINO;KG;CEAGESP - Araçatuba;jan/20;1, 00
127;PEPINO;KG;CEAGESP - Araçatuba;fev/20;1, 00
128;PEPINO;KG;CEAGESP - Araçatuba;mar/20;1, 00
129;PEPINO;KG;CEAGESP - Araçatuba;jun/20;1, 00
130;PEPINO;KG;CEAGESP - Araçatuba;jul/20;1, 09
131;PEPINO;KG;CEAGESP - Araçatuba;ago/20;1, 14
132;PEPINO;KG;CEAGESP - Araçatuba;set/20;1, 14
133;PEPINO;KG;CEAGESP - Araçatuba;out/20;1, 14
134;PEPINO;KG;CEAGESP - Araçatuba;nov/20;1, 14
135;PEPINO;KG;CEAGESP - Araçatuba;dez/20;1, 14
136;PEPINO;KG;CEAGESP - Araraquara;mar/06;0, 50
137;PEPINO;KG;CEAGESP - Araraquara;abr/06;0, 51
138;PEPINO;KG;CEAGESP - Araraquara;mai/06;0, 47
139;PEPINO;KG;CEAGESP - Araraquara;jun/06;0, 49
140;PEPINO;KG;CEAGESP - Araraquara;jul/06;0, 48
141;PEPINO;KG;CEAGESP - Araraquara;ago/06;0, 45
142;PEPINO;KG;CEAGESP - Araraquara;set/06;0, 49
143;PEPINO;KG;CEAGESP - Araraquara;mar/09;0, 81
144;PEPINO;KG;CEAGESP - Araraquara;abr/09;0, 76
145;PEPINO;KG;CEAGESP - Araraquara;ago/09;1, 62
146;PEPINO;KG;CEAGESP - Araraquara;set/09;0, 99
147;PEPINO;KG;CEAGESP - Araraquara;out/09;0, 72
148;PEPINO;KG;CEAGESP - Araraquara;nov/09;0, 62
149;PEPINO;KG;CEAGESP - Araraquara;dez/09;0, 62
150;PEPINO;KG;CEAGESP - Araraquara;jan/10;1, 84
151;PEPINO;KG;CEAGESP - Araraquara;fev/10;1, 78
152;PEPINO;KG;CEAGESP - Araraquara;mar/10;1, 32
153;PEPINO;KG;CEAGESP - Araraquara;abr/10;1, 36
154;PEPINO;KG;CEAGESP - Araraquara;mai/10;1, 19
155;PEPINO;KG;CEAGESP - Araraquara;jun/10;1, 19
156;PEPINO;KG;CEAGESP - Araraquara;jul/10;0, 67
157;PEPINO;KG;CEAGESP - Araraquara;ago/10;1, 09
158;PEPINO;KG;CEAGESP - Araraquara;set/10;1, 04
159;PEPINO;KG;CEAGESP - Araraquara;out/10;1, 13
160;PEPINO;KG;CEAGESP - Araraquara;nov/10;0, 80
161;PEPINO;KG;CEAGESP - Araraquara;dez/10;1, 04
162;PEPINO;KG;CEAGESP - Araraquara;jan/11;1, 17
163;PEPINO;KG;CEAGESP - Araraquara;fev/11;1, 41
164;PEPINO;KG;CEAGESP - Araraquara;mar/11;1, 39
165;PEPINO;KG;CEAGESP - Araraquara;abr/11;1, 45
166;PEPINO;KG;CEAGESP - Araraquara;mai/11;1, 86
167;PEPINO;KG;CEAGESP - Araraquara;jun/11;1, 56
168;PEPINO;KG;CEAGESP - Araraquara;jul/11;1, 35
169;PEPINO;KG;CEAGESP - Araraquara;ago/11;1, 65
170;PEPINO;KG;CEAGESP - Araraquara;set/11;1, 20
171;PEPINO;KG;CEAGESP - Araraquara;out/11;0, 61
172;PEPINO;KG;CEAGESP - Araraquara;nov/11;0, 91
173;PEPINO;KG;CEAGESP - Araraquara;dez/11;1, 18
174;PEPINO;KG;CEAGESP - Araraquara;jan/12;1, 47
175;PEPINO;KG;CEAGESP - Araraquara;fev/12;1, 19
176;PEPINO;KG;CEAGESP - Araraquara;mar/12;1, 12
177;PEPINO;KG;CEAGESP - Araraquara;abr/12;1, 21
178;PEPINO;KG;CEAGESP - Araraquara;mai/12;1, 80
179;PEPINO;KG;CEAGESP - Araraquara;jun/12;1, 53
180;PEPINO;KG;CEAGESP - Araraquara;jul/12;2, 20
181;PEPINO;KG;CEAGESP - Araraquara;ago/12;1, 95
182;PEPINO;KG;CEAGESP - Araraquara;set/12;1, 35
183;PEPINO;KG;CEAGESP - Araraquara;out/12;1, 00
184;PEPINO;KG;CEAGESP - Araraquara;nov/12;1, 26
185;PEPINO;KG;CEAGESP - Araraquara;dez/12;1, 39
186;PEPINO;KG;CEAGESP - Araraquara;jan/13;1, 72
187;PEPINO;KG;CEAGESP - Araraquara;fev/13;1, 08
188;PEPINO;KG;CEAGESP - Araraquara;mar/13;1, 64
189;PEPINO;KG;CEAGESP - Araraquara;abr/13;1, 37
190;PEPINO;KG;CEAGESP - Araraquara;mai/13;1, 28
191;PEPINO;KG;CEAGESP - Araraquara;jun/13;1, 63
192;PEPINO;KG;CEAGESP - Araraquara;jul/13;1, 29
193;PEPINO;KG;CEAGESP - Araraquara;ago/13;2, 10
194;PEPINO;KG;CEAGESP - Araraquara;set/13;1, 89
195;PEPINO;KG;CEAGESP - Araraquara;out/13;1, 07
196;PEPINO;KG;CEAGESP - Araraquara;nov/13;0, 77
