Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mai/06;1, 01
2;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;abr/07;2, 00
3;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;ago/07;1, 23
4;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;set/07;1, 13
5;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;out/07;1, 25
6;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;nov/07;1, 20
7;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;dez/07;1, 22
8;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jan/08;1, 13
9;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;fev/08;1, 04
10;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mar/08;1, 17
11;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mar/09;1, 54
12;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;abr/09;1, 51
13;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mai/09;1, 24
14;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jun/09;1, 03
15;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jul/09;1, 29
16;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;ago/09;1, 53
17;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;set/09;1, 63
18;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;out/09;1, 77
19;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;nov/09;2, 21
20;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;dez/09;2, 52
21;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jan/10;1, 97
22;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;fev/10;2, 57
23;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mar/10;2, 89
24;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;abr/10;2, 78
25;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mai/10;2, 11
26;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jun/10;1, 50
27;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jul/10;1, 40
28;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;ago/10;1, 44
29;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;set/10;1, 88
30;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;out/10;1, 84
31;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;nov/10;2, 00
32;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;dez/10;1, 80
33;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jan/11;1, 61
34;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;fev/11;1, 83
35;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mar/11;2, 42
36;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;abr/11;2, 95
37;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mai/11;2, 93
38;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jun/11;2, 23
39;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jul/11;2, 09
40;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;ago/11;2, 23
41;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;set/11;2, 43
42;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;out/11;1, 92
43;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;nov/11;2, 05
44;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;dez/11;2, 14
45;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;jan/12;2, 06
46;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;fev/12;2, 14
47;PIMENTÃO VERDE;KG;CEAGESP - Araçatuba;mar/12;2, 18
