Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;QUIABO;KG;CEAGESP - Araçatuba;mai/06;1, 79
2;QUIABO;KG;CEAGESP - Araçatuba;abr/07;1, 79
3;QUIABO;KG;CEAGESP - Araçatuba;ago/07;2, 04
4;QUIABO;KG;CEAGESP - Araçatuba;set/07;2, 00
5;QUIABO;KG;CEAGESP - Araçatuba;out/07;2, 00
6;QUIABO;KG;CEAGESP - Araçatuba;nov/07;1, 44
7;QUIABO;KG;CEAGESP - Araçatuba;dez/07;2, 22
8;QUIABO;KG;CEAGESP - Araçatuba;jan/08;2, 14
9;QUIABO;KG;CEAGESP - Araçatuba;fev/08;2, 07
10;QUIABO;KG;CEAGESP - Araçatuba;mar/08;1, 34
11;QUIABO;KG;CEAGESP - Araçatuba;mar/09;1, 64
12;QUIABO;KG;CEAGESP - Araçatuba;abr/09;1, 47
13;QUIABO;KG;CEAGESP - Araçatuba;mai/09;1, 67
14;QUIABO;KG;CEAGESP - Araçatuba;jun/09;1, 79
15;QUIABO;KG;CEAGESP - Araçatuba;jul/09;2, 50
16;QUIABO;KG;CEAGESP - Araçatuba;ago/09;2, 50
17;QUIABO;KG;CEAGESP - Araçatuba;set/09;2, 50
18;QUIABO;KG;CEAGESP - Araçatuba;out/09;2, 29
19;QUIABO;KG;CEAGESP - Araçatuba;nov/09;1, 73
20;QUIABO;KG;CEAGESP - Araçatuba;dez/09;1, 66
21;QUIABO;KG;CEAGESP - Araçatuba;jan/10;1, 81
22;QUIABO;KG;CEAGESP - Araçatuba;fev/10;1, 71
23;QUIABO;KG;CEAGESP - Araçatuba;mar/10;2, 03
24;QUIABO;KG;CEAGESP - Araçatuba;abr/10;3, 22
25;QUIABO;KG;CEAGESP - Araçatuba;mai/10;2, 41
26;QUIABO;KG;CEAGESP - Araçatuba;jun/10;3, 01
27;QUIABO;KG;CEAGESP - Araçatuba;jul/10;2, 77
28;QUIABO;KG;CEAGESP - Araçatuba;ago/10;2, 76
29;QUIABO;KG;CEAGESP - Araçatuba;set/10;2, 59
30;QUIABO;KG;CEAGESP - Araçatuba;out/10;2, 50
31;QUIABO;KG;CEAGESP - Araçatuba;nov/10;3, 62
32;QUIABO;KG;CEAGESP - Araçatuba;dez/10;3, 43
33;QUIABO;KG;CEAGESP - Araçatuba;jan/11;2, 54
34;QUIABO;KG;CEAGESP - Araçatuba;fev/11;1, 62
35;QUIABO;KG;CEAGESP - Araçatuba;mar/11;1, 65
36;QUIABO;KG;CEAGESP - Araçatuba;abr/11;3, 00
37;QUIABO;KG;CEAGESP - Araçatuba;mai/11;3, 28
38;QUIABO;KG;CEAGESP - Araçatuba;jun/11;3, 42
39;QUIABO;KG;CEAGESP - Araçatuba;jul/11;3, 98
40;QUIABO;KG;CEAGESP - Araçatuba;ago/11;3, 72
41;QUIABO;KG;CEAGESP - Araçatuba;set/11;3, 09
42;QUIABO;KG;CEAGESP - Araçatuba;out/11;2, 94
43;QUIABO;KG;CEAGESP - Araçatuba;nov/11;3, 00
44;QUIABO;KG;CEAGESP - Araçatuba;dez/11;2, 85
45;QUIABO;KG;CEAGESP - Araçatuba;jan/12;3, 33
46;QUIABO;KG;CEAGESP - Araçatuba;fev/12;2, 97
47;QUIABO;KG;CEAGESP - Araçatuba;mar/12;2, 54
48;QUIABO;KG;CEAGESP - Araçatuba;abr/12;2, 67
49;QUIABO;KG;CEAGESP - Araçatuba;mai/12;3, 33
50;QUIABO;KG;CEAGESP - Araçatuba;jun/12;2, 64
51;QUIABO;KG;CEAGESP - Araçatuba;jul/12;3, 17
52;QUIABO;KG;CEAGESP - Araçatuba;ago/12;3, 58
53;QUIABO;KG;CEAGESP - Araçatuba;out/12;3, 59
54;QUIABO;KG;CEAGESP - Araçatuba;nov/12;3, 83
55;QUIABO;KG;CEAGESP - Araçatuba;dez/12;3, 48
56;QUIABO;KG;CEAGESP - Araçatuba;jan/13;3, 54
57;QUIABO;KG;CEAGESP - Araçatuba;fev/13;3, 31
58;QUIABO;KG;CEAGESP - Araçatuba;mar/13;2, 76
59;QUIABO;KG;CEAGESP - Araçatuba;abr/13;3, 20
60;QUIABO;KG;CEAGESP - Araçatuba;mai/13;3, 09
61;QUIABO;KG;CEAGESP - Araçatuba;jun/13;3, 40
62;QUIABO;KG;CEAGESP - Araçatuba;jul/13;3, 50
63;QUIABO;KG;CEAGESP - Araçatuba;ago/13;4, 12
64;QUIABO;KG;CEAGESP - Araçatuba;set/13;3, 98
65;QUIABO;KG;CEAGESP - Araçatuba;out/13;3, 88
66;QUIABO;KG;CEAGESP - Araçatuba;nov/13;3, 67
67;QUIABO;KG;CEAGESP - Araçatuba;dez/13;3, 44
68;QUIABO;KG;CEAGESP - Araçatuba;jan/14;2, 98
69;QUIABO;KG;CEAGESP - Araçatuba;abr/14;3, 14
70;QUIABO;KG;CEAGESP - Araçatuba;mai/14;3, 48
71;QUIABO;KG;CEAGESP - Araçatuba;jun/14;3, 49
72;QUIABO;KG;CEAGESP - Araçatuba;jul/14;3, 27
73;QUIABO;KG;CEAGESP - Araçatuba;ago/14;3, 32
74;QUIABO;KG;CEAGESP - Araçatuba;set/14;3, 65
75;QUIABO;KG;CEAGESP - Araçatuba;out/14;3, 92
76;QUIABO;KG;CEAGESP - Araçatuba;nov/14;3, 79
77;QUIABO;KG;CEAGESP - Araçatuba;dez/14;3, 24
78;QUIABO;KG;CEAGESP - Araçatuba;jan/15;3, 21
79;QUIABO;KG;CEAGESP - Araçatuba;fev/15;3, 07
80;QUIABO;KG;CEAGESP - Araçatuba;mar/15;2, 82
81;QUIABO;KG;CEAGESP - Araçatuba;abr/15;2, 73
82;QUIABO;KG;CEAGESP - Araçatuba;mai/15;2, 68
83;QUIABO;KG;CEAGESP - Araçatuba;jun/15;2, 68
84;QUIABO;KG;CEAGESP - Araçatuba;jul/15;3, 30
85;QUIABO;KG;CEAGESP - Araçatuba;set/15;3, 46
86;QUIABO;KG;CEAGESP - Araçatuba;out/15;3, 39
87;QUIABO;KG;CEAGESP - Araçatuba;nov/15;3, 38
88;QUIABO;KG;CEAGESP - Araçatuba;dez/15;3, 27
89;QUIABO;KG;CEAGESP - Araçatuba;jan/16;3, 21
90;QUIABO;KG;CEAGESP - Araçatuba;fev/16;3, 35
91;QUIABO;KG;CEAGESP - Araçatuba;mar/16;3, 39
92;QUIABO;KG;CEAGESP - Araçatuba;abr/16;3, 43
93;QUIABO;KG;CEAGESP - Araçatuba;mai/16;3, 57
94;QUIABO;KG;CEAGESP - Araçatuba;dez/16;3, 21
95;QUIABO;KG;CEAGESP - Araçatuba;jan/17;2, 65
96;QUIABO;KG;CEAGESP - Araçatuba;fev/17;2, 88
97;QUIABO;KG;CEAGESP - Araçatuba;mar/17;2, 76
98;QUIABO;KG;CEAGESP - Araçatuba;abr/17;3, 00
99;QUIABO;KG;CEAGESP - Araçatuba;mai/17;3, 00
100;QUIABO;KG;CEAGESP - Araçatuba;jun/17;3, 00
101;QUIABO;KG;CEAGESP - Araçatuba;jul/17;3, 00
102;QUIABO;KG;CEAGESP - Araçatuba;ago/17;3, 00
103;QUIABO;KG;CEAGESP - Araçatuba;set/17;3, 37
104;QUIABO;KG;CEAGESP - Araçatuba;out/17;3, 73
105;QUIABO;KG;CEAGESP - Araçatuba;nov/17;3, 87
106;QUIABO;KG;CEAGESP - Araçatuba;dez/17;3, 42
