Nro;produto;Unidade;Ceasa;Mês/Ano;Média dos preços Mensal
1;TOMATE;KG;CEAGESP - Araçatuba;mai/06;1, 10
2;TOMATE;KG;CEAGESP - Araçatuba;abr/07;1, 42
3;TOMATE;KG;CEAGESP - Araçatuba;ago/07;0, 74
4;TOMATE;KG;CEAGESP - Araçatuba;set/07;0, 65
5;TOMATE;KG;CEAGESP - Araçatuba;out/07;0, 92
6;TOMATE;KG;CEAGESP - Araçatuba;nov/07;0, 87
7;TOMATE;KG;CEAGESP - Araçatuba;dez/07;0, 71
8;TOMATE;KG;CEAGESP - Araçatuba;jan/08;0, 83
9;TOMATE;KG;CEAGESP - Araçatuba;fev/08;1, 09
10;TOMATE;KG;CEAGESP - Araçatuba;mar/08;1, 53
11;TOMATE;KG;CEAGESP - Araçatuba;mar/09;1, 57
12;TOMATE;KG;CEAGESP - Araçatuba;abr/09;1, 43
13;TOMATE;KG;CEAGESP - Araçatuba;mai/09;1, 07
14;TOMATE;KG;CEAGESP - Araçatuba;jun/09;0, 67
15;TOMATE;KG;CEAGESP - Araçatuba;jul/09;0, 78
16;TOMATE;KG;CEAGESP - Araçatuba;ago/09;0, 84
17;TOMATE;KG;CEAGESP - Araçatuba;set/09;0, 90
18;TOMATE;KG;CEAGESP - Araçatuba;out/09;1, 17
19;TOMATE;KG;CEAGESP - Araçatuba;nov/09;1, 34
20;TOMATE;KG;CEAGESP - Araçatuba;dez/09;1, 35
21;TOMATE;KG;CEAGESP - Araçatuba;jan/10;1, 05
22;TOMATE;KG;CEAGESP - Araçatuba;fev/10;1, 14
23;TOMATE;KG;CEAGESP - Araçatuba;mar/10;1, 64
24;TOMATE;KG;CEAGESP - Araçatuba;abr/10;0, 87
25;TOMATE;KG;CEAGESP - Araçatuba;mai/10;0, 87
26;TOMATE;KG;CEAGESP - Araçatuba;jun/10;0, 86
27;TOMATE;KG;CEAGESP - Araçatuba;jul/10;0, 61
28;TOMATE;KG;CEAGESP - Araçatuba;ago/10;0, 60
29;TOMATE;KG;CEAGESP - Araçatuba;set/10;0, 57
30;TOMATE;KG;CEAGESP - Araçatuba;out/10;0, 74
31;TOMATE;KG;CEAGESP - Araçatuba;nov/10;1, 00
32;TOMATE;KG;CEAGESP - Araçatuba;dez/10;1, 00
33;TOMATE;KG;CEAGESP - Araçatuba;jan/11;1, 35
34;TOMATE;KG;CEAGESP - Araçatuba;fev/11;1, 01
35;TOMATE;KG;CEAGESP - Araçatuba;mar/11;2, 02
36;TOMATE;KG;CEAGESP - Araçatuba;abr/11;2, 32
37;TOMATE;KG;CEAGESP - Araçatuba;mai/11;1, 55
38;TOMATE;KG;CEAGESP - Araçatuba;jun/11;1, 62
39;TOMATE;KG;CEAGESP - Araçatuba;jul/11;1, 28
